,genres
287,"[16, 35, 10751, 14]"
288,"[35, 27]"
289,[35]
290,[35]
291,"[80, 28, 35]"
292,[35]
293,"[28, 35, 10751, 12]"
294,"[35, 18]"
295,"[80, 35, 28]"
296,"[28, 35, 80]"
297,"[35, 18, 10749]"
298,"[18, 35]"
299,"[35, 28, 80]"
300,"[28, 35, 80]"
301,"[35, 18, 10749]"
302,"[28, 35, 80, 53]"
303,"[14, 28, 35, 80]"
304,"[28, 35, 14, 10749]"
305,"[28, 35]"
306,"[35, 80]"
307,"[35, 14]"
308,[35]
309,"[27, 35, 14, 53]"
310,"[14, 35, 10751]"
311,"[28, 12, 35]"
312,[35]
313,"[18, 35, 10749]"
314,"[28, 35]"
315,"[80, 12, 28, 35, 53]"
316,"[35, 10749, 18]"
317,"[35, 10749, 18]"
318,[35]
319,"[35, 10749]"
320,"[10751, 16, 12, 35]"
321,[35]
322,"[14, 10751, 35, 16]"
323,[35]
324,"[35, 10751]"
325,"[28, 35]"
326,"[12, 35, 18, 14]"
327,"[28, 35, 878]"
328,"[16, 35, 10751]"
329,[35]
330,"[35, 27]"
331,[35]
332,"[12, 16, 35, 10751, 14]"
333,"[35, 10749]"
334,"[35, 16, 18, 10749]"
335,"[35, 10751]"
336,[35]
337,"[27, 35]"
338,[35]
339,"[35, 10751]"
340,"[35, 16, 10751, 14]"
341,"[18, 35]"
342,"[35, 10749]"
343,"[80, 35, 28]"
344,"[35, 28, 878]"
345,"[28, 16, 12, 35]"
346,"[35, 18, 10749]"
347,"[35, 10402, 10749]"
348,"[27, 35, 10749]"
349,"[28, 35, 878, 16]"
350,"[12, 35, 10749]"
351,"[35, 80]"
352,"[10751, 35, 12, 14]"
353,"[27, 35, 28, 12, 14]"
354,"[35, 80]"
355,"[35, 18, 10749]"
356,"[12, 35, 10751, 878]"
357,"[80, 28, 35]"
358,"[10751, 28, 12, 35]"
359,"[28, 35, 80]"
360,"[14, 27, 35]"
361,"[28, 12, 35]"
362,"[80, 18, 53, 28]"
363,"[28, 80, 18, 53]"
364,"[18, 80, 53]"
365,"[28, 80]"
366,"[18, 80]"
367,"[18, 80]"
368,"[28, 53, 80]"
369,"[80, 28, 53]"
370,"[18, 80]"
371,"[18, 53, 80]"
372,"[28, 53, 80, 18]"
373,"[53, 28, 12, 35, 80]"
374,"[18, 80]"
375,"[80, 18, 53]"
376,"[12, 28, 80, 9648]"
377,"[28, 80]"
378,"[28, 12, 80, 9648, 53]"
379,"[28, 53, 80]"
380,"[80, 18]"
381,"[80, 27, 9648]"
382,"[53, 28, 18, 80]"
383,"[18, 27, 80]"
384,"[18, 80, 35]"
385,"[53, 80, 18, 9648]"
386,"[53, 80, 27]"
387,"[80, 18, 37]"
388,"[80, 9648, 53]"
389,"[28, 80, 18, 53]"
390,"[28, 53, 80, 18]"
391,"[28, 18, 9648, 53, 80]"
392,"[28, 80]"
393,"[53, 80, 18]"
394,"[80, 53, 9648]"
395,"[18, 80]"
396,"[28, 80, 18, 53]"
397,"[10402, 18, 10749, 80]"
398,"[35, 80]"
399,"[28, 53, 80]"
400,"[53, 28, 80]"
401,"[28, 18, 80]"
402,"[28, 80, 53]"
403,"[80, 27, 53]"
404,"[80, 53]"
405,"[80, 18, 53]"
406,"[80, 28, 35]"
407,"[28, 80, 53]"
408,"[18, 28, 80]"
409,"[35, 10402, 10749, 80]"
410,"[28, 53, 80]"
411,"[18, 80]"
412,"[28, 80, 53]"
413,"[28, 80, 53]"
414,"[28, 53, 80]"
415,"[53, 80, 18]"
416,"[18, 53, 80]"
417,"[53, 80, 28]"
418,"[80, 18]"
419,"[80, 18, 53]"
420,"[80, 18]"
421,"[28, 80, 53]"
422,"[28, 80, 53]"
423,"[28, 80]"
424,"[53, 80, 9648]"
425,"[80, 18, 53]"
426,"[80, 18, 9648, 53]"
427,"[80, 18]"
428,"[80, 28, 53]"
429,"[80, 18, 9648]"
430,"[80, 18, 53]"
431,"[10751, 16, 12, 35, 80]"
432,"[35, 80]"
433,"[80, 18, 53]"
434,"[28, 80, 18]"
435,"[80, 53, 27]"
436,"[80, 18, 53]"
437,"[28, 35, 80]"
438,"[28, 80, 18, 53]"
439,"[28, 53, 12, 80]"
440,"[28, 16, 80]"
441,"[18, 80]"
442,"[18, 37, 80]"
443,"[28, 12, 80, 53]"
444,"[28, 80]"
445,"[28, 80, 18, 53]"
446,"[80, 9648, 53]"
447,"[28, 35, 80]"
448,"[80, 18, 10749]"
449,"[80, 18, 53]"
450,"[35, 80, 18]"
451,"[18, 80]"
452,"[35, 28, 80]"
453,"[80, 18, 9648, 53]"
454,"[80, 18, 53]"
455,"[18, 53, 80, 9648]"
456,"[80, 18, 36]"
457,"[80, 18, 9648, 10749, 53]"
458,[99]
459,"[35, 99, 28]"
460,[99]
461,"[99, 28, 12, 53]"
462,[99]
463,[99]
464,[99]
465,[99]
466,"[10402, 99]"
467,[99]
468,[99]
469,"[99, 12]"
470,"[10402, 99, 10751]"
471,[99]
472,[99]
473,"[99, 80]"
474,[99]
475,"[99, 10402]"
476,[99]
477,[99]
478,"[10402, 99]"
479,"[36, 99]"
480,"[99, 18]"
481,"[10402, 99]"
482,[99]
483,"[99, 10402]"
484,"[99, 27, 36]"
485,"[99, 18]"
486,[99]
487,"[99, 10751]"
488,"[10402, 99]"
489,[99]
490,"[10402, 99, 10751]"
491,[99]
492,[99]
493,[99]
494,[99]
495,"[35, 99]"
496,"[99, 18]"
497,"[99, 80]"
498,[99]
499,[99]
500,[99]
501,[99]
502,"[12, 99]"
503,[99]
504,[99]
505,"[10402, 99]"
506,"[99, 10402]"
507,[99]
508,[99]
509,"[10402, 99]"
510,[99]
511,"[99, 16, 18]"
512,[99]
513,"[99, 10752]"
514,[99]
515,[99]
516,"[10402, 99]"
517,[99]
518,[99]
519,"[99, 10402]"
520,[99]
521,"[10751, 99]"
522,[99]
523,[99]
524,"[99, 10770]"
525,[99]
526,[99]
527,[99]
528,[99]
529,[99]
530,"[99, 35]"
531,"[99, 36, 18]"
532,[99]
533,"[99, 18, 36]"
534,[99]
535,"[99, 36]"
536,"[99, 80, 36]"
537,[99]
538,[99]
539,"[18, 99]"
540,[99]
541,"[99, 878]"
542,[99]
543,[99]
544,[99]
545,[99]
546,"[99, 10402]"
547,[99]
548,[99]
549,[99]
550,"[99, 10402]"
551,[99]
552,[99]
553,[99]
554,[99]
555,[99]
556,[99]
557,"[10752, 99]"
558,"[16, 10752, 18]"
559,"[12, 14, 18, 10749]"
560,"[28, 18, 27, 878, 53]"
561,"[10749, 18]"
562,"[28, 12, 18, 10751]"
563,"[35, 18, 10749]"
564,"[80, 18, 53]"
565,"[10749, 18]"
566,"[12, 14, 18, 10749]"
567,"[28, 37, 18, 14, 53]"
568,"[80, 18, 28, 53, 878]"
569,"[18, 878, 53]"
570,"[53, 18]"
571,[18]
572,"[18, 80, 53]"
573,"[18, 53, 9648]"
574,"[14, 18, 80]"
575,"[18, 36, 10752]"
576,"[18, 80]"
577,"[10751, 10770, 35, 18]"
578,"[35, 18]"
579,"[18, 10751, 14, 12]"
580,"[12, 18, 28]"
581,"[35, 10749, 18]"
582,"[18, 10749]"
583,[18]
584,"[35, 18]"
585,"[18, 10751]"
586,"[80, 18, 28]"
587,"[14, 18]"
588,"[10749, 18, 53, 80]"
589,"[878, 18, 53]"
590,"[18, 10749]"
591,"[80, 18, 9648]"
592,"[10751, 14, 878, 18]"
593,"[35, 18]"
594,"[18, 28]"
595,"[18, 35, 10749]"
596,"[16, 878, 28, 18]"
597,[18]
598,"[18, 10749]"
599,"[27, 18, 53]"
600,"[10751, 10770, 12, 35, 18, 14]"
601,"[18, 28, 53, 80]"
602,"[18, 27, 9648, 53]"
603,"[28, 18, 36, 10752]"
604,[18]
605,"[16, 10751, 18, 14]"
606,[18]
